12.00,10.00,0.00,1.00,44.00,33.00,13.00,12.00,6.00,4.00,4.00,26.00,67.00,52.00,14.00,14.00,1.00,12.00,1.00,12.00,5.00,46.00,26.00,25.00,41.00,15.00,0.00,1.00,127.00,1.00,24.00,1.00,27.00,7.00,4.00,6.00,17.00,12.00,13.00,5.00,22.00,4.00,0.00,1.00,10.00,15.00,9.00,39.00,8.00,3.00,0.00,4.00,36.00,5.00,5.00,38.00,62.00,15.00,2.00,12.00,65.00,13.00,2.00,31.00,6
20.00,20.00,8.00,6.00,8.00,30.00,2.00,27.00,6.00,14.00,1.00,3.00,27.00,22.00,3.00,5.00,1.00,7.00,1.00,2.00,2.00,1.00,39.00,23.00,22.00,23.00,1.00,4.00,15.00,19.00,68.00,11.00,1.00,11.00,2.00,9.00,37.00,2.00,15.00,14.00,10.00,13.00,4.00,0.00,19.00,0.00,5.00,19.00,7.00,1.00,11.00,7.00,36.00,1.00,37.00,16.00,14.00,6.00,0.00,3.00,68.00,36.00,26.00,55.00,6
8.00,11.00,13.00,16.00,38.00,55.00,29.00,49.00,12.00,11.00,17.00,0.00,3.00,5.00,4.00,21.00,21.00,12.00,1.00,4.00,23.00,49.00,23.00,30.00,28.00,1.00,5.00,19.00,3.00,53.00,39.00,25.00,3.00,7.00,9.00,3.00,2.00,10.00,23.00,17.00,0.00,0.00,7.00,23.00,20.00,20.00,14.00,15.00,8.00,17.00,2.00,1.00,14.00,1.00,50.00,0.00,11.00,1.00,1.00,3.00,7.00,13.00,47.00,19.00,6
14.00,3.00,0.00,0.00,4.00,6.00,31.00,39.00,7.00,3.00,4.00,0.00,14.00,4.00,16.00,12.00,4.00,14.00,3.00,3.00,70.00,12.00,12.00,8.00,0.00,23.00,16.00,17.00,30.00,34.00,15.00,29.00,4.00,17.00,1.00,2.00,13.00,8.00,8.00,21.00,26.00,10.00,3.00,9.00,14.00,29.00,6.00,17.00,25.00,6.00,6.00,6.00,76.00,58.00,23.00,9.00,7.00,0.00,2.00,9.00,78.00,52.00,60.00,8.00,6
30.00,28.00,23.00,28.00,25.00,27.00,44.00,1.00,53.00,6.00,3.00,1.00,41.00,9.00,23.00,70.00,8.00,11.00,0.00,5.00,63.00,13.00,20.00,10.00,21.00,1.00,6.00,3.00,18.00,4.00,36.00,84.00,2.00,6.00,13.00,25.00,44.00,26.00,25.00,7.00,11.00,5.00,2.00,0.00,20.00,10.00,33.00,34.00,25.00,13.00,1.00,1.00,20.00,18.00,36.00,1.00,14.00,18.00,11.00,18.00,66.00,24.00,54.00,31.00,6
17.00,11.00,3.00,1.00,21.00,22.00,6.00,8.00,15.00,2.00,9.00,4.00,15.00,8.00,0.00,0.00,25.00,24.00,10.00,15.00,17.00,38.00,32.00,21.00,9.00,26.00,6.00,14.00,46.00,45.00,35.00,1.00,11.00,0.00,2.00,11.00,87.00,16.00,7.00,35.00,24.00,4.00,6.00,4.00,53.00,4.00,11.00,46.00,42.00,33.00,8.00,3.00,28.00,1.00,15.00,7.00,32.00,22.00,1.00,10.00,14.00,8.00,25.00,4.00,6
14.00,5.00,3.00,0.00,26.00,8.00,1.00,30.00,1.00,5.00,7.00,6.00,42.00,0.00,0.00,30.00,8.00,3.00,0.00,9.00,9.00,16.00,3.00,6.00,5.00,3.00,6.00,11.00,2.00,1.00,4.00,33.00,32.00,5.00,2.00,20.00,0.00,74.00,20.00,1.00,42.00,3.00,0.00,11.00,12.00,110.00,1.00,30.00,23.00,4.00,12.00,25.00,67.00,21.00,15.00,10.00,30.00,29.00,13.00,31.00,67.00,22.00,31.00,68.00,6
8.00,5.00,4.00,13.00,2.00,8.00,0.00,1.00,1.00,11.00,8.00,1.00,24.00,35.00,1.00,6.00,24.00,16.00,7.00,23.00,54.00,42.00,0.00,41.00,2.00,21.00,16.00,26.00,79.00,40.00,4.00,24.00,28.00,2.00,6.00,9.00,47.00,69.00,13.00,34.00,0.00,3.00,11.00,17.00,75.00,81.00,3.00,12.00,4.00,4.00,1.00,20.00,33.00,32.00,20.00,14.00,24.00,6.00,12.00,13.00,46.00,27.00,10.00,12.00,6
39.00,25.00,6.00,2.00,40.00,18.00,0.00,19.00,24.00,1.00,8.00,1.00,53.00,27.00,8.00,13.00,14.00,11.00,10.00,16.00,14.00,31.00,12.00,20.00,13.00,21.00,3.00,7.00,22.00,52.00,15.00,10.00,5.00,12.00,10.00,12.00,32.00,0.00,9.00,10.00,21.00,0.00,4.00,4.00,9.00,32.00,7.00,10.00,20.00,3.00,6.00,6.00,9.00,33.00,0.00,48.00,20.00,6.00,17.00,31.00,92.00,67.00,7.00,15.00,6
19.00,14.00,9.00,4.00,62.00,4.00,17.00,12.00,6.00,14.00,6.00,3.00,13.00,22.00,5.00,3.00,11.00,7.00,6.00,11.00,18.00,34.00,21.00,49.00,45.00,0.00,40.00,62.00,96.00,63.00,40.00,56.00,11.00,8.00,2.00,8.00,30.00,27.00,5.00,0.00,7.00,17.00,11.00,11.00,41.00,37.00,14.00,4.00,7.00,2.00,12.00,15.00,48.00,19.00,3.00,9.00,20.00,4.00,2.00,13.00,16.00,7.00,25.00,71.00,6
2.00,14.00,7.00,1.00,15.00,14.00,8.00,27.00,10.00,5.00,2.00,4.00,45.00,3.00,11.00,5.00,11.00,7.00,6.00,11.00,18.00,34.00,21.00,49.00,45.00,0.00,40.00,62.00,96.00,63.00,40.00,56.00,6.00,3.00,12.00,27.00,57.00,17.00,14.00,5.00,16.00,10.00,0.00,12.00,48.00,0.00,20.00,26.00,10.00,1.00,1.00,7.00,34.00,8.00,9.00,0.00,5.00,8.00,12.00,11.00,9.00,23.00,7.00,3.00,6
32.00,16.00,2.00,3.00,53.00,46.00,2.00,15.00,30.00,9.00,0.00,2.00,70.00,13.00,0.00,24.00,25.00,8.00,7.00,23.00,63.00,28.00,1.00,11.00,4.00,10.00,5.00,3.00,5.00,14.00,1.00,0.00,8.00,5.00,5.00,2.00,17.00,23.00,8.00,35.00,47.00,6.00,3.00,1.00,19.00,19.00,14.00,0.00,36.00,5.00,8.00,19.00,62.00,92.00,11.00,30.00,3.00,6.00,0.00,10.00,24.00,93.00,9.00,0.00,6
0.00,1.00,7.00,13.00,23.00,46.00,11.00,10.00,14.00,8.00,10.00,22.00,42.00,72.00,6.00,7.00,4.00,17.00,11.00,0.00,8.00,13.00,1.00,9.00,16.00,15.00,1.00,1.00,17.00,13.00,12.00,6.00,34.00,0.00,22.00,11.00,2.00,17.00,11.00,39.00,20.00,8.00,25.00,16.00,1.00,2.00,13.00,23.00,36.00,8.00,21.00,16.00,20.00,15.00,11.00,14.00,20.00,8.00,6.00,2.00,25.00,26.00,1.00,19.00,6
11.00,6.00,1.00,1.00,3.00,3.00,2.00,18.00,11.00,1.00,10.00,14.00,56.00,19.00,6.00,17.00,4.00,5.00,7.00,13.00,7.00,10.00,4.00,7.00,18.00,61.00,4.00,10.00,16.00,17.00,3.00,5.00,21.00,29.00,8.00,16.00,30.00,6.00,18.00,1.00,22.00,5.00,1.00,6.00,42.00,30.00,23.00,11.00,14.00,7.00,4.00,15.00,73.00,22.00,10.00,1.00,13.00,25.00,9.00,20.00,26.00,34.00,29.00,31.00,6
1.00,5.00,10.00,10.00,10.00,15.00,18.00,22.00,22.00,5.00,8.00,6.00,32.00,33.00,4.00,3.00,19.00,3.00,10.00,8.00,69.00,15.00,4.00,0.00,13.00,1.00,8.00,19.00,18.00,38.00,24.00,28.00,10.00,1.00,16.00,12.00,0.00,38.00,1.00,42.00,27.00,7.00,8.00,10.00,3.00,11.00,8.00,14.00,20.00,7.00,20.00,38.00,118.00,54.00,23.00,20.00,15.00,3.00,30.00,26.00,32.00,36.00,6.00,41.00,6
16.00,10.00,6.00,14.00,72.00,51.00,10.00,1.00,18.00,17.00,0.00,21.00,76.00,46.00,9.00,10.00,2.00,5.00,1.00,13.00,30.00,8.00,9.00,24.00,20.00,14.00,7.00,8.00,4.00,22.00,18.00,22.00,18.00,11.00,6.00,24.00,57.00,38.00,36.00,9.00,1.00,5.00,10.00,0.00,7.00,24.00,28.00,9.00,14.00,0.00,17.00,33.00,21.00,61.00,21.00,39.00,26.00,5.00,5.00,8.00,36.00,55.00,10.00,4.00,6
19.00,0.00,24.00,21.00,14.00,59.00,19.00,41.00,12.00,7.00,3.00,0.00,1.00,1.00,12.00,25.00,5.00,10.00,0.00,2.00,16.00,40.00,22.00,7.00,31.00,5.00,23.00,31.00,92.00,50.00,25.00,16.00,54.00,6.00,9.00,18.00,55.00,38.00,4.00,81.00,37.00,3.00,9.00,25.00,28.00,31.00,12.00,34.00,4.00,8.00,12.00,19.00,72.00,84.00,4.00,19.00,41.00,10.00,1.00,19.00,74.00,60.00,8.00,3.00,6
6.00,9.00,14.00,18.00,38.00,64.00,9.00,20.00,30.00,2.00,5.00,0.00,16.00,3.00,8.00,9.00,11.00,6.00,6.00,14.00,25.00,27.00,26.00,14.00,14.00,1.00,2.00,6.00,40.00,4.00,2.00,26.00,12.00,2.00,4.00,16.00,43.00,25.00,12.00,16.00,41.00,0.00,6.00,25.00,110.00,75.00,6.00,4.00,15.00,15.00,2.00,12.00,26.00,30.00,12.00,17.00,19.00,16.00,36.00,47.00,37.00,57.00,47.00,4.00,6
33.00,1.00,9.00,4.00,48.00,6.00,19.00,39.00,9.00,7.00,3.00,6.00,5.00,0.00,33.00,24.00,3.00,23.00,5.00,0.00,44.00,10.00,9.00,7.00,14.00,7.00,5.00,9.00,14.00,7.00,5.00,26.00,22.00,11.00,21.00,15.00,0.00,4.00,16.00,1.00,62.00,12.00,30.00,29.00,26.00,57.00,23.00,15.00,10.00,1.00,6.00,24.00,73.00,48.00,4.00,43.00,42.00,10.00,28.00,27.00,56.00,42.00,39.00,21.00,6
12.00,12.00,0.00,5.00,10.00,2.00,8.00,14.00,8.00,11.00,4.00,11.00,7.00,50.00,14.00,24.00,12.00,8.00,5.00,1.00,63.00,41.00,17.00,19.00,23.00,16.00,2.00,1.00,10.00,23.00,16.00,11.00,27.00,2.00,6.00,8.00,1.00,2.00,7.00,35.00,5.00,12.00,10.00,3.00,19.00,32.00,8.00,9.00,27.00,3.00,3.00,14.00,27.00,49.00,11.00,31.00,14.00,10.00,6.00,12.00,43.00,19.00,1.00,26.00,6
0.00,18.00,3.00,7.00,75.00,32.00,8.00,9.00,3.00,5.00,3.00,0.00,3.00,24.00,13.00,17.00,29.00,12.00,10.00,17.00,57.00,16.00,1.00,38.00,20.00,10.00,8.00,7.00,53.00,4.00,7.00,11.00,30.00,2.00,13.00,4.00,9.00,38.00,22.00,10.00,5.00,3.00,5.00,9.00,1.00,56.00,17.00,63.00,17.00,5.00,19.00,11.00,46.00,14.00,20.00,38.00,13.00,27.00,6.00,15.00,5.00,1.00,0.00,1.00,6
15.00,2.00,4.00,4.00,41.00,26.00,0.00,45.00,6.00,4.00,6.00,12.00,44.00,8.00,5.00,9.00,21.00,6.00,5.00,14.00,0.00,23.00,3.00,10.00,20.00,3.00,7.00,6.00,28.00,18.00,6.00,13.00,5.00,16.00,4.00,10.00,23.00,31.00,7.00,11.00,19.00,22.00,11.00,3.00,37.00,15.00,12.00,23.00,4.00,10.00,2.00,3.00,37.00,16.00,5.00,10.00,4.00,7.00,6.00,11.00,69.00,50.00,7.00,8.00,6
21.00,11.00,8.00,20.00,2.00,5.00,3.00,8.00,6.00,1.00,1.00,6.00,30.00,33.00,6.00,23.00,30.00,8.00,20.00,21.00,3.00,31.00,43.00,49.00,31.00,12.00,20.00,31.00,32.00,43.00,29.00,9.00,1.00,10.00,4.00,1.00,2.00,2.00,8.00,3.00,19.00,10.00,11.00,6.00,31.00,25.00,43.00,14.00,3.00,1.00,13.00,17.00,32.00,21.00,12.00,19.00,1.00,9.00,16.00,1.00,62.00,8.00,12.00,18.00,6
20.00,1.00,5.00,8.00,29.00,12.00,11.00,18.00,33.00,6.00,9.00,5.00,59.00,5.00,27.00,4.00,40.00,7.00,0.00,6.00,55.00,12.00,48.00,27.00,36.00,0.00,2.00,2.00,33.00,43.00,14.00,40.00,27.00,2.00,1.00,3.00,15.00,72.00,23.00,25.00,7.00,6.00,12.00,12.00,71.00,17.00,16.00,44.00,12.00,5.00,7.00,19.00,48.00,19.00,1.00,4.00,15.00,3.00,0.00,0.00,9.00,9.00,0.00,10.00,6
32.00,3.00,5.00,16.00,8.00,43.00,9.00,3.00,20.00,8.00,10.00,6.00,21.00,41.00,21.00,3.00,20.00,34.00,1.00,6.00,15.00,44.00,5.00,1.00,36.00,19.00,15.00,9.00,4.00,5.00,5.00,0.00,0.00,5.00,12.00,15.00,20.00,8.00,4.00,15.00,4.00,5.00,7.00,13.00,40.00,29.00,9.00,47.00,23.00,33.00,1.00,3.00,32.00,42.00,9.00,7.00,25.00,6.00,5.00,3.00,18.00,11.00,27.00,35.00,6
8.00,4.00,7.00,7.00,10.00,16.00,3.00,3.00,1.00,2.00,3.00,10.00,36.00,1.00,1.00,16.00,14.00,34.00,0.00,6.00,63.00,44.00,25.00,12.00,3.00,12.00,6.00,19.00,44.00,52.00,2.00,4.00,50.00,16.00,25.00,13.00,36.00,8.00,14.00,0.00,23.00,20.00,6.00,1.00,0.00,29.00,9.00,31.00,12.00,1.00,0.00,9.00,6.00,48.00,10.00,9.00,5.00,26.00,8.00,3.00,40.00,33.00,6.00,2.00,6
8.00,9.00,6.00,14.00,88.00,58.00,3.00,13.00,9.00,8.00,0.00,8.00,21.00,30.00,2.00,12.00,22.00,11.00,4.00,2.00,1.00,13.00,31.00,34.00,95.00,35.00,39.00,35.00,4.00,8.00,54.00,74.00,46.00,37.00,14.00,6.00,8.00,1.00,14.00,18.00,3.00,31.00,4.00,0.00,14.00,19.00,0.00,10.00,9.00,9.00,5.00,5.00,1.00,3.00,14.00,8.00,31.00,17.00,10.00,20.00,74.00,32.00,26.00,20.00,6
34.00,4.00,2.00,7.00,17.00,2.00,15.00,17.00,4.00,15.00,10.00,17.00,37.00,6.00,10.00,15.00,29.00,8.00,10.00,25.00,69.00,39.00,14.00,24.00,15.00,0.00,2.00,13.00,3.00,1.00,6.00,17.00,1.00,12.00,1.00,5.00,2.00,12.00,19.00,3.00,27.00,28.00,18.00,16.00,14.00,20.00,7.00,30.00,9.00,30.00,24.00,19.00,12.00,6.00,13.00,8.00,19.00,25.00,4.00,1.00,5.00,14.00,8.00,7.00,6
52.00,21.00,24.00,22.00,6.00,16.00,8.00,20.00,3.00,17.00,3.00,10.00,30.00,16.00,39.00,50.00,10.00,5.00,1.00,7.00,3.00,25.00,27.00,16.00,4.00,1.00,8.00,11.00,30.00,6.00,17.00,24.00,21.00,0.00,14.00,18.00,18.00,8.00,10.00,13.00,28.00,1.00,11.00,16.00,42.00,6.00,2.00,3.00,0.00,11.00,1.00,11.00,81.00,0.00,9.00,12.00,1.00,8.00,6.00,2.00,11.00,5.00,10.00,20.00,6
21.00,13.00,19.00,6.00,40.00,15.00,96.00,24.00,15.00,1.00,17.00,16.00,52.00,32.00,42.00,41.00,18.00,21.00,7.00,14.00,35.00,8.00,42.00,12.00,37.00,11.00,10.00,6.00,41.00,1.00,15.00,41.00,3.00,4.00,12.00,1.00,33.00,14.00,15.00,1.00,37.00,3.00,8.00,15.00,1.00,18.00,16.00,29.00,45.00,10.00,11.00,9.00,33.00,0.00,4.00,75.00,20.00,20.00,11.00,7.00,28.00,27.00,25.00,6.00,6
