emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
12,26,1,0,7,100,73,42,1
64,27,12,6,3,100,65,53,1
7,44,10,3,2,68,60,100,1
17,30,10,10,0,100,81,18,1
37,1,30,8,5,100,83,82,1
18,54,18,10,15,100,39,56,1
1,22,3,10,3,100,35,38,1
3,0,0,7,3,100,46,17,1
11,51,3,3,1,53,100,66,1
2,61,8,5,11,80,100,47,1
29,50,4,11,13,100,14,22,1
27,3,24,13,8,10,42,100,1
24,13,0,3,4,24,20,100,1
4,16,7,1,0,100,48,89,1
0,77,28,10,0,67,100,86,1
80,16,8,1,0,100,28,85,1
44,8,4,0,1,56,16,100,1
4,42,1,1,2,24,13,100,1
47,52,26,8,0,97,100,94,1
0,2,100,41,0,1,0,1,1
17,62,7,1,13,50,100,1,1
4,3,3,4,7,83,12,100,1
42,55,3,5,0,100,16,97,1
2,1,16,8,5,29,56,100,1
14,33,10,0,11,20,6,100,1
15,48,1,0,0,16,45,100,1
20,22,4,4,8,46,55,100,1
0,29,11,6,6,100,91,49,1
25,26,3,0,1,3,3,100,1
11,13,6,0,8,18,59,100,1
16,9,6,2,4,88,11,100,1
22,23,13,15,1,35,100,30,1
61,7,17,7,14,15,61,100,1
6,17,7,4,6,60,81,100,1
23,75,16,10,0,100,25,51,1
26,19,19,0,7,100,12,21,1
10,17,15,4,1,17,2,100,1
27,83,29,9,11,46,100,11,1
23,37,0,0,6,67,30,100,1
7,16,3,2,1,100,59,38,1
7,14,7,3,1,100,28,2,1
3,58,20,7,1,100,0,5,1
81,100,33,30,0,81,3,57,1
5,3,0,1,5,37,17,100,1
12,37,4,1,9,100,8,40,1
46,100,14,3,7,42,57,89,1
6,47,0,5,3,22,100,57,1
54,18,15,9,25,22,100,40,1
47,44,5,5,11,24,100,79,1
5,29,5,1,2,19,18,100,1
53,13,13,9,0,32,100,44,1
29,25,8,0,1,54,74,100,1
52,18,0,2,4,6,86,100,1
30,46,0,2,6,34,60,100,1
9,2,5,1,0,52,100,51,1
15,5,1,0,10,33,72,100,1
17,100,7,0,8,5,19,56,1
22,4,5,0,0,14,18,100,1
39,100,18,0,0,60,32,1,1
44,8,2,0,1,100,49,71,1
5,53,13,1,17,76,48,100,1
18,42,3,1,4,47,100,52,1
8,17,10,1,4,100,41,24,1
31,2,9,2,6,100,56,70,1
33,14,11,17,19,33,67,100,1
37,100,10,4,1,44,35,87,1
1,23,18,11,5,18,29,100,1
12,4,2,2,3,62,100,26,1
17,100,17,2,4,61,19,27,1
6,1,9,3,7,69,100,69,1
1,35,1,5,5,11,100,80,1
53,56,20,6,0,50,100,68,1
34,24,0,0,7,59,50,100,1
1,0,10,6,10,63,100,92,1
4,57,26,7,7,100,59,40,1
20,64,16,8,0,100,100,100,1
2,19,9,3,1,52,2,100,1
17,4,9,3,1,2,16,100,1
1,100,15,4,3,64,32,84,1
11,48,11,1,2,75,100,42,1
28,100,15,9,5,28,15,71,1
2,13,0,0,1,15,8,100,1
14,17,1,1,1,0,5,100,1
42,1,0,0,1,7,100,100,1
30,25,3,11,13,66,40,100,1
13,11,5,0,0,27,21,100,1
5,93,23,13,8,0,37,100,1
13,28,3,1,0,18,13,100,1
34,56,2,6,13,70,75,100,1
0,6,0,1,0,3,100,70,1
25,55,11,9,5,26,1,100,1
45,9,15,3,7,37,3,100,1
20,44,18,7,0,11,81,100,1
18,43,14,4,0,42,34,100,1
15,80,2,12,12,17,25,100,1
14,38,14,2,7,19,64,100,1
30,53,5,4,1,20,100,27,1
11,27,53,29,18,17,37,100,1
8,4,10,8,1,6,43,100,1
13,100,13,2,6,1,23,2,1
47,100,41,47,41,26,61,44,1
2,0,11,8,12,22,100,22,1
1,10,2,2,1,16,30,100,1
5,43,2,2,2,3,6,100,1
1,28,4,1,7,17,100,75,1
29,25,2,0,0,100,75,34,1
7,1,0,1,0,36,12,100,1
6,16,16,2,6,50,91,100,1
26,1,1,1,4,62,100,22,1
28,57,6,4,0,100,0,52,1
9,19,11,3,1,32,15,100,1
14,94,1,8,1,100,63,22,1
0,23,15,2,3,100,29,38,1
70,44,16,14,12,30,100,70,1
4,32,45,28,26,58,4,100,1
40,100,9,3,1,75,19,18,1
33,21,21,13,5,55,68,100,1
72,20,15,6,11,13,52,100,1
6,78,47,4,1,17,16,100,1
1,7,1,1,1,53,9,100,1
0,6,3,1,7,76,46,100,1
7,1,39,8,3,73,95,100,1
7,70,46,16,11,46,46,100,1
100,27,2,2,2,94,36,36,1
63,29,0,0,20,100,6,100,1
23,26,29,0,6,100,34,21,1
20,39,5,11,13,100,43,58,1
13,37,13,6,3,100,56,45,1
11,7,10,7,7,8,100,13,1
2,6,3,5,1,100,34,25,1
0,10,0,5,4,45,100,82,1
49,51,24,9,28,100,28,90,1
15,18,5,3,9,53,66,100,1
23,23,14,0,1,19,100,15,1
28,3,16,2,10,23,100,22,1
40,36,6,0,23,63,34,100,1
11,30,6,0,13,79,69,100,1
70,36,4,4,11,59,57,100,1
45,8,4,5,8,72,8,100,1
34,11,0,0,8,30,100,65,1
1,1,10,4,14,100,86,20,1
4,18,1,0,1,100,65,71,1
38,44,5,3,33,55,100,90,1
7,0,2,0,0,3,24,100,1
5,31,12,1,22,75,100,55,1
37,3,3,5,0,16,67,100,1
13,15,0,0,2,70,4,100,1
24,33,24,7,20,57,31,100,1
17,10,3,1,13,52,9,100,1
6,36,6,6,4,100,25,91,1
80,100,45,3,3,74,32,83,1
30,13,0,4,1,100,11,53,1
19,25,1,6,3,19,35,100,1
12,18,4,0,8,16,51,100,1
2,8,4,2,1,42,20,100,1
4,10,0,1,0,23,27,100,1
35,23,19,14,14,69,100,95,1
31,13,4,0,8,100,36,32,1
46,31,24,2,8,2,48,100,1
4,2,0,0,0,100,96,33,1
14,4,0,7,14,100,0,40,1
0,3,1,3,13,53,73,100,1
12,27,18,7,9,9,10,100,1
15,1,1,6,10,0,100,48,1
29,41,4,0,5,27,22,100,1
24,3,72,6,20,100,89,79,1
7,7,1,1,1,96,100,26,1
7,2,2,0,7,21,48,100,1
8,20,13,1,2,12,83,100,1
58,56,1,3,7,100,3,55,1
4,0,4,2,11,20,100,95,1
11,2,27,11,13,28,100,66,1
35,52,29,3,1,3,31,100,1
17,23,17,2,0,8,6,100,1
16,2,8,1,4,4,31,100,1
12,1,3,2,1,22,38,100,1
15,1,5,0,1,37,53,100,1
13,15,3,1,5,100,18,79,1
1,18,8,7,0,30,58,100,1
22,2,0,8,20,100,12,87,1
40,27,3,1,2,48,68,100,1
29,2,4,0,0,100,1,2,1
5,1,0,1,5,67,78,100,1
47,15,2,2,7,100,71,71,1
22,20,8,0,0,100,91,68,1
7,1,5,3,7,8,100,11,1
3,8,2,2,2,7,53,100,1
17,11,17,13,21,100,46,61,1
6,3,4,1,1,7,40,100,1
21,6,0,0,0,5,31,100,1
9,5,3,1,1,16,16,100,1
12,7,6,3,0,12,6,100,1
26,10,2,2,7,50,94,100,1
43,7,0,0,0,100,28,76,1
18,3,1,2,2,25,65,100,1
35,37,17,4,0,100,56,70,1
21,19,27,9,4,18,52,100,1
16,18,5,7,2,5,58,100,1
18,20,11,3,3,10,11,100,1
28,6,8,0,12,36,100,44,1
13,60,10,0,3,71,26,100,1
15,5,0,1,7,27,52,100,1
15,15,2,2,17,100,97,7,1
39,66,9,3,9,100,81,54,1
34,48,42,17,34,28,88,100,1
3,22,6,1,3,62,18,100,1
12,5,0,0,3,50,37,100,1
15,7,5,1,11,70,84,100,1
25,19,4,1,3,100,56,82,1
73,13,11,6,8,6,24,100,1
8,36,20,8,2,18,100,100,1
13,43,18,11,2,100,45,6,1
2,21,5,4,0,5,29,100,1
11,11,0,4,3,4,5,100,1
0,9,3,4,6,25,59,100,1
22,17,9,3,1,17,60,100,1
2,18,8,3,5,23,38,100,1
10,14,2,4,22,24,61,100,1
5,0,0,0,0,11,46,100,1
25,16,13,11,8,33,70,100,1
16,1,1,0,1,44,10,100,1
1,1,4,0,7,38,46,100,1
4,4,13,0,13,0,100,97,1
5,5,1,2,4,36,100,36,1
29,1,1,2,2,28,25,100,1
5,13,3,2,8,33,11,100,1
7,0,2,1,6,23,4,100,1
16,15,7,3,0,26,100,1,1
20,20,34,25,22,48,100,42,1
6,0,5,5,5,1,100,14,1
27,16,3,1,3,100,50,94,1
38,4,0,4,2,47,100,89,1
10,2,3,3,8,56,37,100,1
8,14,16,6,3,9,100,31,1
32,35,16,5,9,17,100,31,1
6,9,1,3,5,40,54,100,1
38,13,1,1,0,9,100,44,1
0,8,3,1,3,64,100,16,1
2,5,0,0,1,42,20,100,1
11,12,0,1,14,100,38,57,1
0,4,2,4,0,100,20,36,1
10,5,2,0,2,15,20,100,1
8,0,3,2,9,100,57,47,1
1,9,5,1,5,5,96,100,1
11,6,1,0,11,52,69,100,1
14,4,16,1,3,100,6,61,1
1,12,28,4,9,9,100,59,1
34,40,22,8,4,69,95,100,1
14,37,22,9,1,48,100,40,1
1,1,12,3,12,38,61,100,1
1,11,0,1,2,100,23,47,1
13,24,1,3,5,20,100,75,1
15,0,1,0,0,100,1,90,1
2,5,7,3,0,58,54,100,1
27,1,1,0,3,13,62,100,1
12,10,2,5,0,90,60,100,1
17,1,5,0,0,10,100,55,1
25,23,3,1,1,45,45,100,1
10,13,6,0,0,100,44,37,1
19,17,86,78,1,67,94,100,1
2,8,2,2,2,100,34,95,1
20,35,2,0,2,53,69,100,1
0,8,1,1,0,100,19,69,1
17,1,1,0,4,36,22,100,1
12,1,1,1,1,2,45,100,1
0,8,0,2,8,100,11,77,1
14,5,0,0,7,4,18,100,1
13,0,0,0,1,0,3,100,1
73,53,20,13,20,16,76,100,1
5,3,1,2,1,100,19,98,1
7,4,1,3,11,7,100,89,1
22,14,13,9,11,100,9,13,1
81,77,26,14,8,16,10,100,1
4,8,4,2,4,10,12,100,1
1,11,0,0,3,13,29,100,1
2,19,10,7,0,8,10,100,1
51,0,2,2,14,40,97,100,1
48,8,5,3,0,41,13,100,1
23,4,2,0,0,21,26,100,1
3,7,1,1,1,27,100,86,1
2,1,0,5,1,12,40,100,1
15,19,5,5,12,100,7,64,1
16,0,4,4,4,1,67,100,1
7,3,3,0,2,51,11,100,1
7,14,11,7,5,12,100,61,1
43,17,5,1,1,15,28,100,1
12,0,12,14,16,10,100,25,1
23,63,33,13,20,100,20,93,1
2,17,0,2,0,26,84,100,1
0,17,1,11,3,3,40,100,1
18,13,8,5,3,8,7,100,1
24,72,34,22,18,14,36,100,1
3,15,7,9,19,100,54,13,1
18,1,3,0,10,86,100,1,1
15,25,10,3,15,0,100,3,1
1,4,9,5,0,8,88,100,1
55,26,2,2,2,100,80,88,1
100,68,20,27,18,54,65,34,1
19,8,1,2,7,4,7,100,1
100,87,15,6,25,59,62,100,1
17,2,6,1,1,10,10,100,1
26,3,9,1,11,34,3,100,1
20,9,0,1,10,58,7,100,1
11,11,0,1,10,43,50,100,1
2,10,0,6,10,100,58,41,1
8,2,1,1,3,7,10,100,1
8,0,1,0,1,1,72,100,1
14,2,9,3,2,1,64,100,1
10,0,1,1,1,25,100,92,1
8,26,12,8,8,1,100,33,1
15,1,2,3,7,7,100,99,1
7,7,7,6,5,8,82,100,1
43,6,2,1,5,18,100,60,1
12,1,0,1,6,54,1,100,1
39,26,13,10,7,34,100,78,1
30,5,8,1,8,30,51,100,1
11,0,0,3,2,8,59,100,1
20,8,0,0,2,16,68,100,1
17,12,6,6,3,24,3,100,1
28,1,1,3,5,34,40,100,1
5,7,0,0,0,12,13,100,1
17,21,9,6,4,6,44,100,1
15,24,6,1,5,15,39,100,1
15,5,5,6,2,2,17,100,1
5,8,7,1,0,0,34,100,1
4,18,26,12,1,55,9,100,1
41,6,0,0,1,43,0,100,1
4,1,19,4,0,50,100,27,1
8,0,3,0,1,13,100,60,1
13,1,15,10,8,1,28,100,1
25,27,5,0,7,25,100,74,1
60,43,14,19,12,36,100,92,1
15,30,1,0,8,34,32,100,1
2,10,4,1,4,69,55,100,1
11,11,22,11,17,65,54,100,1
40,18,1,3,16,64,85,100,1
4,13,2,4,0,15,100,80,1
30,44,12,10,24,93,49,100,1
0,14,5,1,0,51,44,100,1
12,6,2,6,2,100,72,2,1
2,35,9,2,11,73,47,100,1
0,20,2,1,0,31,49,100,1
31,5,3,5,14,24,50,100,1
17,8,3,0,1,19,77,100,1
22,18,31,15,13,100,59,6,1
14,14,9,3,5,38,35,100,1
14,30,12,6,6,100,75,48,1
12,11,1,2,0,4,22,100,1
23,1,0,2,2,57,73,100,1
4,1,1,3,5,100,75,0,1
36,7,2,7,11,32,90,100,1
73,38,14,5,11,100,73,32,1
19,28,4,4,4,100,37,62,1
19,30,15,1,1,26,28,100,1
23,0,2,0,0,39,16,100,1
0,0,2,3,3,65,58,100,1
17,8,0,2,13,91,100,40,1
44,2,13,0,7,94,2,100,1
3,9,1,3,1,23,48,100,1
15,0,2,6,24,100,91,42,1
27,16,1,1,16,49,67,100,1
47,1,0,1,1,69,22,100,1
0,15,1,3,0,1,75,100,1
16,13,3,0,5,39,49,100,1
1,25,4,4,1,59,87,100,1
6,13,9,4,4,21,100,53,1
4,13,11,6,11,29,54,100,1
7,13,3,4,3,14,100,59,1
4,6,2,1,1,30,3,100,1
9,4,9,2,39,100,37,90,1
12,10,6,6,16,31,100,56,1
15,3,0,3,7,31,53,100,1
0,69,23,2,0,44,88,100,1
20,14,8,2,5,14,100,79,1
19,3,0,0,2,34,100,85,1
24,8,6,4,22,92,82,100,1
7,5,4,1,0,100,97,64,1
3,22,1,0,4,0,88,100,1
6,7,0,0,0,38,65,100,1
6,2,1,2,6,28,100,92,1
1,27,3,5,9,100,56,76,1
32,30,12,5,5,25,19,100,1
20,2,3,4,2,32,45,100,1
0,4,1,2,0,100,2,97,1
21,53,3,0,7,19,40,100,1
37,18,5,3,0,32,88,100,1
25,11,7,2,0,29,55,100,1
0,7,5,0,2,31,64,100,1
8,11,4,0,3,100,10,72,1
100,30,4,2,23,37,23,76,1
36,10,0,3,12,64,100,30,1
75,100,43,15,3,87,46,56,1
13,11,6,3,6,39,82,100,1
6,2,0,4,20,60,20,100,1
1,7,0,0,1,26,76,100,1
38,12,12,4,5,27,30,100,1
14,4,5,2,4,37,100,50,1
10,6,2,4,8,32,100,76,1
18,15,13,7,6,36,100,81,1
15,4,1,1,1,23,100,64,1
10,4,0,0,0,6,54,100,1
9,13,6,2,10,23,47,100,1
12,3,1,0,1,22,92,100,1
32,8,5,1,1,9,57,100,1
16,1,0,2,0,29,28,100,1
5,1,1,0,5,5,100,30,1
28,19,0,1,1,13,100,94,1
31,12,0,1,0,62,100,3,1
29,2,2,0,1,5,100,81,1
100,23,0,3,6,93,100,86,1
16,2,0,1,5,0,7,100,1
16,10,6,0,1,28,74,100,1
2,2,0,0,1,11,15,100,1
10,1,0,1,3,1,61,100,1
0,1,3,1,3,1,53,100,1
7,2,5,1,5,0,25,100,1
31,14,4,4,4,4,100,58,1
12,6,2,0,3,4,2,100,1
27,23,5,2,1,34,100,56,1
12,5,9,4,9,1,28,100,1
22,1,0,1,1,20,70,100,1
3,8,1,1,0,33,60,100,1
0,14,5,4,22,17,100,5,1
26,48,26,2,10,32,67,100,1
16,7,9,3,0,37,15,100,1
1,3,8,6,6,100,52,11,1
22,6,2,1,1,19,100,29,1
15,8,8,5,18,27,100,1,1
17,1,0,0,3,0,100,92,1
24,1,0,3,1,7,83,100,1
30,5,0,2,6,21,14,100,1
8,11,1,0,1,19,100,88,1
1,1,0,1,0,6,53,100,1
11,1,0,2,2,30,21,100,1
13,9,3,0,2,100,51,64,1
6,4,4,6,9,86,30,100,1
43,29,6,3,4,37,100,75,1
14,9,0,6,1,12,80,100,1
13,0,10,6,6,100,1,69,1
11,8,0,0,1,16,100,21,1
4,20,0,4,4,100,16,66,1
25,5,1,5,10,44,91,100,1
14,1,2,0,6,0,0,100,1
5,13,0,1,6,8,62,100,1
12,5,1,1,1,10,1,100,1
27,47,25,5,12,5,100,97,1
21,4,4,9,4,4,80,100,1
2,5,6,1,2,32,72,100,1
3,11,0,1,1,0,11,100,1
2,5,1,1,5,27,34,100,1
50,25,2,2,13,66,100,66,1
29,2,2,0,5,26,100,58,1
14,9,9,5,3,13,29,100,1
11,9,4,1,5,3,32,100,1
5,11,0,0,0,10,1,100,1
7,2,3,1,0,26,15,100,1
2,8,2,2,1,2,34,100,1
1,11,2,1,1,2,100,22,1
19,6,1,0,2,11,51,100,1
0,4,0,1,0,10,9,100,1
9,3,4,2,2,14,3,100,1
12,1,1,1,3,10,39,100,1
6,9,1,1,8,37,100,0,1
5,3,2,0,1,40,100,32,1
4,1,0,3,8,4,40,100,1
28,1,1,4,0,27,31,100,1
5,1,0,3,1,0,100,61,1
5,1,1,0,1,8,55,100,1
11,0,1,1,1,2,54,100,1
13,6,1,1,1,17,77,100,1
27,6,5,0,1,25,100,23,1
10,19,0,1,3,8,35,100,1
7,5,1,1,3,48,84,100,1
4,18,2,2,6,36,51,100,1
7,8,7,0,0,3,89,100,1
6,4,5,5,5,6,17,100,1
4,11,1,0,1,7,100,49,1
48,41,12,3,12,25,87,100,1
2,0,7,0,2,11,64,100,1
15,2,2,0,2,100,55,92,1
2,21,3,0,6,0,3,100,1
21,43,5,1,3,39,100,29,1
15,19,5,0,5,77,30,100,1
2,10,0,0,3,13,20,100,1
8,3,0,3,2,8,16,100,1
1,12,8,5,0,20,28,100,1
5,0,2,5,13,15,86,100,1
6,2,1,0,1,7,17,100,1
15,8,1,5,13,8,51,100,1
5,8,2,0,0,43,14,100,1
16,6,7,0,1,58,44,100,1
6,1,0,0,2,19,54,100,1
16,61,37,6,13,74,15,100,1
22,8,8,4,2,100,12,97,1
5,0,5,0,0,19,100,93,1
67,80,52,12,0,84,66,100,1
10,3,7,0,9,100,67,80,1
15,46,1,11,11,23,100,26,1
6,53,15,9,15,6,39,100,1
28,2,14,2,2,2,92,100,1
24,11,3,6,3,78,80,100,1
13,23,0,3,0,100,41,12,1
7,16,20,1,9,100,44,51,1
3,15,6,0,5,18,100,3,1
7,1,3,0,15,100,77,96,1
5,0,0,0,4,39,28,100,1
20,13,1,1,4,26,89,100,1
7,3,5,7,10,46,100,37,1
18,5,20,12,6,15,21,100,1
17,48,1,9,9,88,100,1,1
30,50,40,18,32,100,87,5,1
0,2,8,4,11,100,39,38,1
1,0,36,100,1,5,6,3,1
0,16,100,76,1,8,4,1,1
24,3,11,7,1,18,100,72,1
21,11,11,7,10,74,80,100,1
0,0,1,10,20,14,22,100,1
30,53,100,77,36,0,18,2,1
9,1,1,0,1,74,100,76,1
17,16,5,8,0,30,100,52,1
58,30,1,5,13,65,100,86,1
26,22,14,0,4,73,88,100,1
9,21,24,4,8,100,47,42,1
35,100,100,67,53,32,10,35,1
44,41,100,0,4,27,32,23,1
4,5,58,100,29,1,1,2,1
19,60,41,6,47,100,19,89,1
48,95,39,22,9,100,48,87,1
17,78,50,7,9,100,41,84,1
23,51,75,12,100,66,10,1,1
4,0,4,0,1,39,100,57,1
7,39,35,28,7,100,94,79,1
35,28,83,11,28,71,100,56,1
0,23,45,19,20,100,27,23,1
9,26,100,82,13,15,18,4,1
4,16,3,7,15,82,27,100,1
100,2,23,16,9,18,77,61,1
12,15,15,94,2,61,100,20,1
7,15,100,33,1,58,35,25,1
42,60,100,0,5,17,37,45,1
10,2,9,1,0,54,100,24,1
29,51,6,6,38,9,100,90,1
19,18,0,9,22,21,100,5,1
46,31,4,26,4,82,2,100,1
19,23,25,11,31,100,68,92,1
58,37,37,10,3,24,100,79,1
38,22,2,3,6,100,24,16,1
5,15,20,2,3,1,100,75,1
0,14,0,7,0,100,11,16,1
14,2,2,1,0,4,100,52,1
33,48,3,0,0,19,5,100,1
7,8,2,0,12,12,27,100,1
10,38,12,4,10,10,100,72,1
4,5,4,1,1,100,16,91,1
14,48,12,17,24,100,58,60,1
47,9,9,12,25,100,90,70,1
44,22,3,1,2,24,62,100,1
16,14,7,0,1,48,44,100,1
25,12,5,1,2,18,17,100,1
28,2,6,2,6,48,40,100,1
2,26,4,2,2,8,100,69,1
3,5,9,1,1,31,33,100,1
18,4,9,3,0,100,96,72,1
13,0,0,0,11,6,45,100,1
9,6,1,1,4,0,1,100,1
60,25,2,4,18,6,33,100,1
27,1,3,0,2,6,100,79,1
18,36,5,9,7,21,100,60,1
9,40,14,0,1,45,17,100,1
2,12,1,0,2,9,35,100,1
53,4,0,0,6,62,100,88,1
33,19,2,4,7,40,40,100,1
12,22,2,0,4,58,85,100,1
4,12,0,0,4,18,6,100,1
2,11,3,0,1,23,100,26,1
30,15,5,8,16,75,43,100,1
5,2,0,3,5,13,62,100,1
9,13,2,0,0,21,41,100,1
0,3,2,0,2,38,19,100,1
3,11,3,0,5,19,11,100,1
12,15,8,3,2,0,3,100,1
4,3,0,3,0,14,4,100,1
6,3,2,0,1,6,6,100,1
0,15,100,23,2,0,0,0,1
1,8,100,32,1,0,0,1,1
15,1,1,0,1,16,73,100,1
22,1,0,0,10,19,14,100,1
3,5,3,5,17,17,100,40,1
41,1,3,0,2,9,100,60,1
21,0,1,3,0,29,100,90,1
4,2,0,0,0,4,0,100,1
17,0,0,1,0,27,35,100,1
32,10,1,1,0,63,100,23,1
23,5,7,5,2,100,97,82,1
22,0,1,4,0,16,100,43,1
73,33,6,3,3,100,93,83,1
3,1,1,2,3,48,74,100,1
1,9,0,13,9,100,66,70,1
11,6,2,2,1,38,26,100,1
7,7,1,2,1,33,8,100,1
18,1,4,7,4,54,10,100,1
8,5,0,0,3,56,6,100,1
0,9,0,6,7,100,7,51,1
29,14,7,4,3,30,100,2,1
1,23,1,1,5,64,100,72,1
12,10,1,3,5,14,65,100,1
11,100,72,48,13,6,2,0,1
5,17,3,1,6,35,100,3,1
36,5,15,5,0,31,100,83,1
14,23,12,0,10,58,68,100,1
39,35,9,7,22,100,84,57,1
7,23,3,3,25,100,51,17,1
6,14,5,1,23,100,15,85,1
40,6,7,3,6,100,44,100,1
6,32,0,0,12,83,5,100,1
3,1,1,1,17,100,50,20,1
3,1,1,1,17,100,50,20,1
5,37,100,43,1,24,3,2,1
24,24,29,12,1,64,19,100,1
12,20,8,2,0,74,100,78,1
17,49,5,1,19,68,77,100,1
7,34,14,9,3,100,96,86,1
6,58,3,10,20,100,100,21,1
97,67,40,7,22,88,57,100,1
13,15,2,0,15,100,30,73,1
30,23,15,4,14,100,11,39,1
64,14,3,1,0,17,100,67,1
43,48,7,0,5,100,4,42,1
50,21,9,4,4,70,6,100,1
21,43,34,2,0,31,24,100,1
27,20,0,8,12,66,62,100,1
40,20,1,1,5,34,26,100,1
1,23,2,1,3,100,40,5,1
8,39,8,9,14,36,24,100,1
2,5,9,0,16,100,16,43,1
60,50,6,9,6,52,100,81,1
22,16,11,4,0,54,25,100,1
37,6,1,6,1,85,1,100,1
3,5,8,5,10,64,9,100,1
16,11,2,1,0,21,47,100,1
56,14,7,5,3,10,5,100,1
100,0,13,2,11,61,86,34,1
4,11,0,1,1,58,100,51,1
20,12,1,4,3,51,46,100,1
54,27,4,4,22,100,40,56,1
26,54,32,26,30,58,22,100,1
47,58,13,13,18,26,100,39,1
38,75,28,6,2,100,65,44,1
30,61,17,5,10,97,100,20,1
60,8,10,5,9,4,32,100,1
11,36,10,0,5,24,62,100,1
12,7,5,1,1,100,18,87,1
10,17,0,1,10,100,3,8,1
1,10,1,2,19,100,97,26,1
12,44,9,9,16,100,61,42,1
16,44,2,2,4,69,36,100,1
35,42,3,6,8,100,9,45,1
35,38,10,3,4,100,15,57,1
9,11,3,9,8,100,9,69,1
18,7,6,1,15,68,59,100,1
40,22,21,4,9,59,22,100,1
3,33,17,6,7,100,92,82,1
55,88,13,16,23,62,100,16,1
25,13,1,1,4,23,34,100,1
25,1,11,6,1,51,36,100,1
23,14,7,4,5,13,100,49,1
7,7,0,0,3,100,7,30,1
9,75,2,4,2,63,82,100,1
8,4,2,4,5,100,91,45,1
35,1,7,1,17,100,61,10,1
19,3,14,4,1,100,14,23,1
12,10,17,3,7,100,3,55,1
20,30,13,4,0,38,71,100,1
30,5,13,2,22,100,17,100,1
1,15,6,2,25,100,0,8,1
20,2,4,2,2,100,46,18,1
35,15,3,6,8,88,69,100,1
57,29,4,1,0,57,100,39,1
5,12,3,2,4,100,2,19,1
47,22,5,4,4,10,70,100,1
23,1,1,1,13,90,17,100,1
18,21,13,5,0,59,97,100,1
25,20,2,1,2,100,10,22,1
37,14,10,5,5,5,28,100,1
22,1,9,6,6,15,7,100,1
41,92,39,0,4,100,26,82,1
25,30,4,0,6,100,23,82,1
12,3,3,1,0,100,4,81,1
32,9,2,1,5,78,100,57,1
12,12,2,5,5,26,15,100,1
32,27,1,0,1,74,5,100,1
11,6,6,3,2,37,75,100,1
5,20,5,1,0,34,72,100,1
16,9,0,2,2,83,100,85,1
3,17,12,3,0,36,87,100,1
23,46,34,4,0,100,30,0,1
37,21,6,3,3,87,100,62,1
86,10,2,16,13,89,70,100,1
27,32,22,8,1,72,69,100,1
20,22,9,8,4,76,62,100,1
0,47,15,0,5,50,49,100,1
36,31,17,0,0,100,51,93,1
38,0,4,6,21,40,1,100,1
18,3,6,3,10,20,0,100,1
7,3,8,6,11,83,26,100,1
0,9,1,3,1,72,0,100,1
25,3,10,1,0,14,55,100,1
46,100,17,4,9,0,65,19,1
21,21,15,7,7,61,100,8,1
26,15,5,1,1,11,27,100,1
4,7,0,3,1,64,66,100,1
30,37,13,4,2,55,25,100,1
1,9,3,2,3,46,19,100,1
18,0,0,0,0,12,46,100,1
2,4,100,56,4,6,4,46,1
3,12,1,3,10,20,49,100,1
10,11,3,0,4,23,100,34,1
24,14,17,4,7,45,25,100,1
33,25,7,2,20,69,100,25,1
9,11,0,7,0,100,27,42,1
16,1,0,1,5,36,38,100,1
2,11,18,6,37,39,100,44,1
12,10,8,10,8,60,16,100,1
1,13,13,3,8,86,100,85,1
13,4,6,1,0,9,100,49,1
48,19,13,9,3,38,85,100,1
29,35,5,11,11,9,100,62,1
45,30,11,3,5,54,100,83,1
100,50,13,6,26,73,6,73,1
12,19,6,4,6,100,2,10,1
13,4,6,4,0,21,100,55,1
31,24,20,15,3,100,48,68,1
43,6,2,0,13,18,57,100,1
100,8,0,5,17,18,27,94,1
11,22,14,1,12,47,100,33,1
53,17,8,4,1,35,24,100,1
100,35,12,17,0,54,40,3,1
41,8,10,7,5,91,20,100,1
16,46,23,16,8,46,33,100,1
21,13,14,4,1,76,0,100,1
55,66,31,8,44,55,100,80,1
32,4,1,4,17,51,100,5,1
24,12,25,17,14,100,4,70,1
49,0,10,15,5,34,100,71,1
97,63,33,5,36,11,13,100,1
37,5,3,2,13,42,100,12,1
49,20,7,10,18,92,100,70,1
5,7,14,5,17,36,100,55,1
29,61,50,14,7,11,72,100,1
13,1,15,7,2,81,100,76,1
3,28,8,6,4,100,37,0,1
1,10,4,0,0,5,18,100,1
19,26,28,1,1,10,100,35,1
100,79,22,22,24,5,48,44,1
58,30,19,8,9,25,17,100,1
6,8,0,7,1,100,38,11,1
1,28,8,0,0,1,100,37,1
17,32,1,3,0,6,100,74,1
32,19,1,4,4,17,94,100,1
77,100,31,31,18,18,100,86,1
24,0,2,1,6,54,100,10,1
20,23,12,5,7,100,87,25,1
15,69,15,0,6,51,87,100,1
21,30,11,1,2,65,15,100,1
36,2,29,12,29,70,100,53,1
18,16,2,6,8,6,45,100,1
7,23,11,4,11,29,100,70,1
30,1,1,0,3,33,30,100,1
0,37,10,1,1,64,100,35,1
23,28,23,12,5,43,66,100,1
67,30,10,8,4,18,63,100,1
35,44,11,3,1,92,100,96,1
35,58,22,11,8,72,100,75,1
28,26,1,0,7,53,30,100,1
4,4,3,0,2,100,55,20,1
