emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
26,100,67,7,10,5,1,10,0
0,31,29,100,14,6,2,1,0
2,35,100,59,73,25,5,5,0
0,35,23,100,88,18,15,18,0
100,51,35,27,40,8,2,10,0
7,100,41,28,42,27,5,5,0
2,100,46,81,36,1,0,1,0
21,70,100,52,34,10,0,4,0
14,34,100,53,56,78,0,2,0
3,85,100,46,12,7,1,0,0
39,98,100,53,53,25,7,14,0
16,35,100,37,30,1,0,0,0
0,41,100,35,23,6,8,9,0
6,100,91,82,15,13,8,6,0
4,13,46,24,1,20,14,100,0
0,41,100,45,13,1,0,2,0
1,100,35,23,30,19,1,1,0
53,60,100,80,0,28,8,20,0
100,88,73,64,14,27,4,17,0
67,8,100,82,48,22,8,13,0
14,49,100,13,20,7,13,12,0
100,29,60,95,32,22,24,37,0
100,0,73,76,7,0,15,36,0
52,98,77,100,9,13,1,23,0
4,88,61,100,55,1,1,1,0
16,25,30,44,32,100,2,2,0
78,63,100,6,11,66,8,16,0
18,1,51,100,10,23,0,6,0
22,70,81,100,5,3,3,0,0
19,21,100,62,21,12,8,3,0
30,18,10,100,51,2,19,22,0
48,98,100,16,17,2,9,19,0
12,54,81,100,1,11,3,9,0
0,29,24,100,7,40,8,5,0
9,47,72,100,9,16,6,2,0
1,25,100,30,10,4,0,0,0
11,34,100,52,38,22,13,2,0
19,15,65,100,36,13,9,9,0
10,13,100,22,6,3,2,6,0
0,69,72,100,1,5,0,5,0
6,100,10,79,32,10,6,0,0
0,19,100,46,0,6,1,1,0
0,11,100,94,1,1,1,1,0
28,100,3,63,24,17,6,8,0
0,26,18,100,58,15,4,2,0
10,100,36,39,23,0,0,5,0
38,19,45,100,20,4,1,1,0
23,95,100,47,13,7,2,2,0
4,31,57,100,6,5,0,0,0
57,65,91,40,100,2,2,11,0
10,74,7,100,9,0,3,6,0
0,79,100,60,23,13,6,2,0
32,70,95,100,0,1,0,6,0
0,69,100,91,16,2,8,0,0
5,50,100,35,57,15,5,5,0
37,19,100,83,65,10,0,11,0
27,9,100,75,20,4,1,1,0
13,75,46,100,5,15,1,5,0
15,76,100,39,20,26,1,9,0
30,100,71,3,5,13,6,10,0
21,84,100,23,1,6,1,6,0
7,51,100,19,48,7,9,17,0
10,35,77,100,59,13,14,16,0
12,33,100,34,17,2,2,4,0
1,59,11,21,100,8,9,6,0
29,100,4,94,22,11,4,4,0
1,100,0,84,39,7,0,2,0
1,78,100,82,32,1,3,0,0
27,67,100,2,24,29,13,18,0
25,1,100,53,2,1,4,3,0
0,0,100,17,3,3,1,1,0
4,3,100,56,4,6,1,1,0
4,29,100,13,11,4,5,4,0
1,24,100,36,45,1,5,2,0
28,11,8,100,12,3,10,14,0
15,31,100,51,24,10,8,9,0
11,100,47,23,16,5,2,3,0
3,23,90,100,27,0,2,1,0
4,40,100,2,10,0,1,0,0
20,100,49,5,15,12,3,2,0
2,100,45,12,15,0,0,1,0
2,100,66,44,15,5,3,10,0
27,60,100,39,14,11,11,9,0
18,100,28,62,7,3,9,15,0
1,3,93,100,23,8,0,1,0
0,100,94,36,0,4,0,2,0
33,55,45,100,72,11,13,15,0
16,100,44,32,23,8,2,1,0
7,100,11,28,3,9,9,11,0
25,20,100,26,31,12,10,12,0
51,100,49,19,8,15,14,19,0
5,52,19,100,27,15,10,15,0
19,74,34,100,36,2,4,19,0
30,32,30,100,25,6,1,6,0
22,88,2,100,74,42,32,32,0
10,79,100,8,8,8,1,8,0
11,44,100,42,11,5,3,6,0
13,44,43,100,14,0,4,3,0
50,76,100,2,28,2,2,14,0
4,4,100,46,13,4,1,0,0
24,100,96,54,18,18,9,12,0
35,100,75,27,2,3,3,9,0
23,45,100,13,9,2,6,7,0
83,75,100,39,31,6,10,29,0
18,100,76,14,24,29,7,4,0
7,100,61,12,15,1,1,0,0
2,66,66,100,6,1,2,0,0
10,45,73,100,2,4,1,1,0
51,83,100,56,7,5,9,15,0
17,100,75,1,1,3,0,2,0
65,100,38,29,1,10,13,22,0
15,100,24,7,11,7,4,3,0
19,100,85,80,1,1,0,5,0
38,59,67,100,26,22,19,19,0
1,60,29,100,0,1,1,1,0
44,100,66,71,0,4,7,15,0
13,100,7,27,0,0,2,3,0
13,28,100,95,0,2,2,8,0
14,11,31,100,27,6,4,5,0
69,5,83,100,25,14,0,5,0
2,20,79,100,55,49,1,1,0
5,71,100,44,41,4,4,6,0
17,53,100,35,23,30,1,5,0
17,53,21,100,0,24,5,3,0
12,3,82,100,60,4,1,3,0
2,18,24,9,41,100,11,8,0
5,100,80,62,4,21,0,2,0
6,100,46,57,28,34,4,3,0
7,100,41,4,82,70,2,14,0
9,69,58,100,32,43,16,15,0
8,83,79,61,100,61,7,4,0
25,93,77,100,9,1,4,6,0
13,48,59,57,44,100,19,13,0
3,100,17,65,20,22,15,7,0
6,3,100,96,29,62,4,2,0
24,88,100,16,36,11,3,1,0
42,66,100,37,35,16,18,25,0
13,29,45,100,23,27,0,4,0
26,100,22,66,0,34,1,0,0
0,72,100,62,12,1,1,0,0
14,90,100,45,11,37,0,0,0
44,100,12,75,69,51,14,2,0
34,25,18,100,57,24,9,6,0
56,100,13,29,29,39,9,11,0
14,13,15,100,51,23,17,8,0
22,56,100,15,14,4,0,4,0
3,50,98,67,100,63,26,7,0
34,37,100,29,7,12,0,2,0
26,15,100,91,77,22,8,0,0
16,79,100,58,17,11,14,9,0
12,40,42,100,21,2,2,4,0
7,100,25,9,46,12,3,1,0
38,46,100,74,53,76,2,7,0
23,28,100,32,9,17,0,6,0
4,20,100,80,17,4,4,0,0
14,12,100,11,9,1,4,7,0
12,30,56,100,20,21,12,10,0
45,46,95,100,23,26,10,68,0
10,3,21,100,14,1,4,7,0
7,42,100,45,2,1,0,1,0
77,57,100,100,22,0,20,35,0
5,100,52,63,10,4,5,8,0
20,88,100,75,18,11,18,20,0
67,24,100,9,33,19,20,35,0
93,8,100,80,23,0,18,32,0
0,33,100,37,8,10,0,3,0
59,100,11,100,28,18,12,21,0
37,62,100,42,2,3,0,0,0
76,33,86,100,52,23,21,43,0
100,27,88,30,17,18,31,45,0
2,48,100,14,13,7,5,7,0
86,100,0,59,48,12,19,36,0
13,32,68,100,23,5,6,6,0
30,24,66,100,30,19,20,27,0
86,100,41,10,17,19,29,41,0
50,100,92,31,41,24,22,22,0
18,100,40,38,1,31,7,7,0
16,100,27,65,60,34,14,20,0
100,66,53,43,10,15,23,46,0
24,100,17,58,9,0,1,4,0
3,3,100,21,5,2,0,1,0
11,100,12,21,0,0,3,6,0
7,41,100,1,5,17,8,2,0
1,16,100,39,30,11,7,13,0
30,4,100,34,0,0,3,0,0
28,68,52,100,14,2,1,0,0
42,71,100,46,3,11,9,15,0
7,100,18,44,12,2,1,0,0
23,22,39,100,53,62,22,23,0
22,100,16,95,26,24,4,20,0
56,100,89,12,94,5,8,21,0
4,40,32,100,6,8,2,0,0
100,1,15,41,31,40,43,55,0
28,44,46,100,20,28,15,13,0
15,29,100,9,12,7,6,2,0
20,22,0,100,47,34,11,10,0
0,100,67,10,13,6,0,1,0
23,56,100,0,36,0,0,11,0
5,7,52,100,14,7,1,1,0
13,41,91,100,9,10,3,4,0
16,100,58,51,10,16,9,5,0
100,61,11,100,70,64,35,0,0
36,6,53,100,3,1,7,6,0
19,0,100,72,51,21,15,9,0
16,80,22,100,22,4,5,15,0
10,20,10,51,100,10,3,8,0
15,14,1,36,52,31,22,100,0
10,13,100,20,1,7,0,0,0
13,50,60,100,68,39,25,27,0
37,18,100,100,45,53,18,17,0
33,86,100,12,61,17,4,4,0
15,27,5,100,45,3,11,15,0
29,100,93,98,23,94,12,17,0
10,71,100,30,0,10,9,6,0
83,40,100,26,13,23,22,41,0
5,63,100,53,34,4,6,0,0
44,1,4,100,28,1,3,16,0
68,42,100,35,48,34,25,24,0
56,75,13,90,30,100,26,5,0
85,22,100,86,93,10,33,39,0
1,100,31,19,3,19,6,1,0
3,0,33,100,67,31,6,6,0
7,17,100,35,0,30,22,50,0
26,19,0,100,26,12,12,1,0
100,12,93,41,10,13,5,10,0
60,100,33,86,86,36,20,15,0
39,95,100,53,43,7,15,13,0
45,100,56,41,54,25,0,19,0
13,100,47,75,17,83,21,16,0
75,24,66,100,49,51,6,6,0
100,3,30,3,90,75,24,45,0
24,100,87,64,27,38,12,11,0
100,84,63,1,5,25,2,23,0
50,86,100,33,15,22,1,11,0
5,100,89,9,20,4,0,2,0
27,91,79,100,4,4,8,11,0
100,57,75,60,61,23,44,54,0
2,59,71,100,21,1,0,3,0
28,35,28,100,99,9,17,12,0
37,50,13,88,100,54,26,22,0
2,5,100,24,8,35,3,2,0
16,100,89,82,34,19,5,7,0
5,78,100,22,6,0,9,13,0
1,60,100,24,0,14,6,5,0
13,53,100,19,3,25,15,11,0
0,5,100,0,6,0,0,0,0
0,5,100,34,15,9,3,3,0
10,18,100,72,9,1,1,1,0
21,44,100,55,7,3,5,5,0
11,34,100,52,27,25,5,1,0
10,84,100,27,5,0,0,0,0
