val_loss,val_accuracy,loss,accuracy
0.12439052043274673,0.9513648152351379,0.2736251797547912,0.8893725275993347
0.06992949860600325,0.9722083806991577,0.09189978840305355,0.9618396162986755
0.044681734796012604,0.9816378951072693,0.06061681611677591,0.9767554998397827
0.04538824677550541,0.9791564345359802,0.05074460597649782,0.9813544750213623
0.05602011253719886,0.9746899604797363,0.039658343236525284,0.9857053160667419
0.04709992651445167,0.9826303720474243,0.03251214406289267,0.9883154630661011
0.043389316377138706,0.9831266403198242,0.03026550033432475,0.9891855716705322
0.04781089176102622,0.9791563153266907,0.024722938586172295,0.991050124168396
0.034384388393342895,0.9826304316520691,0.01717477610651369,0.9940333962440491
0.043920146926507246,0.979156494140625,0.017910277340566938,0.9947790503501892
0.05025659839575879,0.9791564345359802,0.012092734644993459,0.9963951110839844
0.04506942816425309,0.9816378951072693,0.011218139431754797,0.9963951706886292
0.040910358590833036,0.9836229085922241,0.014521064689524577,0.9950277209281921
0.0412313468052622,0.9851117134094238,0.008984275750308659,0.996146559715271
0.08427421042651806,0.9781638979911804,0.005673465336629887,0.9985082745552063
0.04662358371644031,0.9836229085922241,0.007564121309766298,0.9966437816619873
0.0593896680905122,0.9811415672302246,0.0046233236463574055,0.9982596635818481
0.06112163695369899,0.9861042499542236,0.0009367346116037046,1.0
0.04781436116949042,0.9861042499542236,0.0004004115652316988,1.0
0.06090490468900848,0.9856080412864685,0.0005217430029381538,1.0
0.0633262886252711,0.9826303720474243,0.0028482055030666195,0.9986326694488525
0.06241878390850363,0.9806451797485352,0.004495379679083395,0.9982596635818481
0.06480972305535733,0.9826302528381348,0.005726156628021055,0.9987569451332092
0.10843609458191554,0.971216082572937,0.00756988364986826,0.9981353878974915
0.07718859617209822,0.9791564345359802,0.014178462388062522,0.9945305585861206
0.04887257308891146,0.9836229085922241,0.008762542616854586,0.9972652792930603
0.050977967869632365,0.9851117134094238,0.0014275653141878405,0.9997513890266418
0.05430219292028422,0.984119176864624,0.0006234058830301927,1.0
0.05848405704178081,0.984119176864624,0.0005849826655913909,1.0
0.05951008666912011,0.9851117134094238,0.0001653010760442437,1.0
